date,money spent
2018-06-04,2505542.458
2018-06-08,3363.75
2018-06-11,2064.8
2018-06-12,13545.99
2018-06-20,0.0
2018-06-21,10440.0
2018-06-27,37260.0
2018-06-29,41162.5
2018-07-03,23955.0
2018-07-05,208369.45288119995
2018-07-11,585.0
2018-07-12,247.7
2018-07-25,99.08
2018-07-27,386681.64948
2018-08-02,579847.7
2018-08-06,11328.125
2018-08-08,82804.9945861
2018-08-16,271559.0
2018-08-18,4594.15425
2018-08-21,0.0
2018-08-29,14455.6447299
2018-09-05,1082899.9098745997
2018-09-06,117.0
2018-09-07,437972.775
2018-09-14,858.0
2018-09-17,0.0
2018-09-18,0.0
2018-09-19,0.0
2018-09-24,854647.88625
2018-09-25,200495.45296999998
2018-09-27,585.0
2018-09-28,40037.92
2018-10-02,45588.41339839999
2018-10-03,861843.4930000001
2018-10-08,3328.5570354
2018-10-09,9541.25
2018-10-11,5243.4
2018-10-23,160.0
2018-10-24,355277.88
2018-10-25,0.0
2018-10-29,400.0
2018-10-31,200.0
2018-11-01,37260.0
2018-11-02,14461.119999999999
2018-11-05,207.36
2018-11-07,282.48
2018-11-09,45177.600000000006
2018-11-13,203.44
2018-11-15,187.52
2018-11-19,432813.196
2018-11-20,28278.707757
2018-11-21,44531.25
2018-11-26,506325.148
2018-11-27,7977.79
2018-11-28,3612.8
2018-11-30,725182.9
2018-12-03,271954.2825475
2018-12-05,25875.0
2018-12-06,1350.0
2018-12-12,224250.0
2018-12-13,10020.0
2018-12-14,237360.0
2018-12-17,162150.0
2018-12-18,107553.75
2018-12-19,360250.88
2018-12-21,0.0
2018-12-27,0.0
2018-12-28,1194404.48
2019-01-03,8481.46
2019-01-04,189750.0
2019-01-07,2250.0
2019-01-08,0.0
2019-01-09,15030.0
2019-01-11,400.0
2019-01-14,31659.675
2019-01-15,17.4598893
2019-01-16,400.0
2019-01-17,147295.0
2019-01-18,2020.5
2019-01-21,0.0
2019-01-23,5612.5
2019-01-24,2806.25
2019-01-28,0.0
2019-02-04,574.9
2019-02-07,0.0
2019-02-08,0.0
2019-02-11,12456.599999999999
2019-02-12,862500.0
2019-02-13,18.5
2019-02-20,200.0
2019-02-21,1089.8799999999999
2019-02-22,965009.1000000001
2019-02-25,20361.75
2019-02-27,3450.0
2019-03-06,0.0
2019-03-08,93904.8
2019-03-13,1882.5
2019-03-15,676.98
2019-03-18,0.0
2019-03-19,115495.0
2019-03-20,6637.0
2019-03-25,5698.924999999999
2019-03-27,371.55
2019-03-28,1390433.68
2019-04-03,400.0
